"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Отправка запроса на регистрацию курьера без указания имени; без указания пароля; без указания логина","223","Проверка создания курьера с невалидными данными","tests","Mon Jun 23 01:26:50 GMT+07:00 2025","passed","Mon Jun 23 01:26:51 GMT+07:00 2025","TestAddCourier","test_add_courier","",""
"","214","Проверка возвращения ошибки при принятия заказа без указания id курьера","tests","Mon Jun 23 01:28:01 GMT+07:00 2025","passed","Mon Jun 23 01:28:01 GMT+07:00 2025","TestAcceptOrder","test_order","",""
"","222","Проверка возвращения ошибки при принятия заказа без указания id заказа","tests","Mon Jun 23 01:28:02 GMT+07:00 2025","failed","Mon Jun 23 01:28:03 GMT+07:00 2025","TestAcceptOrder","test_order","",""
"","656","Проверка успешного получения заказа по его номеру","tests","Mon Jun 23 01:28:04 GMT+07:00 2025","passed","Mon Jun 23 01:28:04 GMT+07:00 2025","TestReceiptOrder","test_order","",""
"","243","Проверка возвращения ошибки при получении заказа с указанием несуществующего номера заказа","tests","Mon Jun 23 01:28:04 GMT+07:00 2025","passed","Mon Jun 23 01:28:05 GMT+07:00 2025","TestReceiptOrder","test_order","",""
"Отправка запроса на создание заказа с выбором цвета самоката: черный; серый; черный и серый; без указания цвета","239","Проверка успешного создания заказа","tests","Mon Jun 23 01:27:55 GMT+07:00 2025","passed","Mon Jun 23 01:27:55 GMT+07:00 2025","TestOrder","test_order","",""
"Отправка запроса на регистрацию двух курьеров с одинаковыми логином, паролем и именем","519","Проверка создания двух одинаковых курьеров","tests","Mon Jun 23 01:26:50 GMT+07:00 2025","passed","Mon Jun 23 01:26:50 GMT+07:00 2025","TestAddCourier","test_add_courier","",""
"","227","Проверка успешного удаления курьера","tests","Mon Jun 23 01:26:51 GMT+07:00 2025","passed","Mon Jun 23 01:26:52 GMT+07:00 2025","TestDeletCourier","test_delet_courier","",""
"","231","Проверка возвращения ошибки при принятия заказа с указанием несуществующего id курьера","tests","Mon Jun 23 01:28:01 GMT+07:00 2025","passed","Mon Jun 23 01:28:02 GMT+07:00 2025","TestAcceptOrder","test_order","",""
"Отправка запроса на регистрацию нового курьера","286","Успешное создание курьера","tests","Mon Jun 23 01:26:49 GMT+07:00 2025","passed","Mon Jun 23 01:26:50 GMT+07:00 2025","TestAddCourier","test_add_courier","",""
"","239","Проверка возвращения ошибки при принятия заказа с указанием несуществующего id заказа","tests","Mon Jun 23 01:28:03 GMT+07:00 2025","passed","Mon Jun 23 01:28:04 GMT+07:00 2025","TestAcceptOrder","test_order","",""
"Отправка запроса на создание заказа с выбором цвета самоката: черный; серый; черный и серый; без указания цвета","247","Проверка успешного создания заказа","tests","Mon Jun 23 01:27:55 GMT+07:00 2025","passed","Mon Jun 23 01:27:55 GMT+07:00 2025","TestOrder","test_order","",""
"Отправка запроса на создание заказа с выбором цвета самоката: черный; серый; черный и серый; без указания цвета","255","Проверка успешного создания заказа","tests","Mon Jun 23 01:27:54 GMT+07:00 2025","passed","Mon Jun 23 01:27:55 GMT+07:00 2025","TestOrder","test_order","",""
"Отправка запроса на авторизацию курьера с несуществующим логином","477","Проверка авторизации курьера с невалидным логином","tests","Mon Jun 23 01:26:53 GMT+07:00 2025","passed","Mon Jun 23 01:26:53 GMT+07:00 2025","TestLoginCourier","test_login_courier","",""
"","230","Проверка возвращения ошибки при получении заказа без указания номера заказа","tests","Mon Jun 23 01:28:05 GMT+07:00 2025","passed","Mon Jun 23 01:28:05 GMT+07:00 2025","TestReceiptOrder","test_order","",""
"","471","Проверка успешной авторизации курьера","tests","Mon Jun 23 01:26:52 GMT+07:00 2025","passed","Mon Jun 23 01:26:53 GMT+07:00 2025","TestLoginCourier","test_login_courier","",""
